"reaction_type","content_id","datetime","content_type","category","sentiment","score"
"adore","8b08e78c-4798-463a-b868-a0dc9fde777f","2020-12-17 19:38:16","GIF","public speaking","positive",72
"adore","4b2d0fff-3b4f-43ca-a7df-c430479cb9ba","2021-03-21 04:39:45","video","soccer","positive",72
"adore","69ce055c-e0bd-46c5-b856-bf2254d1c490","2020-08-27 08:31:42","GIF","healthy eating","positive",72
"adore","42a0f482-d3a8-4216-ba0b-1459abf854a6","2021-01-11 21:52:02","GIF","culture","positive",72
"adore","4b2d0fff-3b4f-43ca-a7df-c430479cb9ba","2021-05-16 17:54:12","video","soccer","positive",72
"adore","8b51c05c-a8a2-4a6c-b031-165fb7bac840","2021-06-01 09:20:49","video","dogs","positive",72
"adore","754eb96d-65d0-416b-aec4-4ba35836157d","2021-02-24 06:10:01","GIF","tennis","positive",72
"adore","58b0f92a-76ae-4521-a223-2b117f4f4e70","2020-11-11 10:40:25","video","dogs","positive",72
"adore","89cb4504-fccd-40f4-945e-410f74ee4735","2020-11-18 17:02:24","photo","animals","positive",72
"adore","8e0f1d3e-b588-44de-a423-8224eb26aa99","2021-05-25 09:45:21","audio","healthy eating","positive",72
"adore","25934ec0-56f1-4fe1-9bf4-d46b1dbb42ad","2021-02-17 11:34:57","photo","veganism","positive",72
"adore","3091e63e-1355-4eb6-9fa7-5c6e75f1d3b8","2020-07-19 00:38:12","GIF","culture","positive",72
"adore","c7066a17-2e12-49d2-bb9e-c8967051f490","2020-10-01 22:28:10","GIF","public speaking","positive",72
"adore","323c35ed-081f-4efd-8bd6-ce5208ceb0ed","2020-07-07 03:00:35","GIF","animals","positive",72
"adore","b3b384bf-3a17-4ccb-ba86-583dede8fe3c","2021-05-21 17:25:53","photo","education","positive",72
"adore","909cbb46-9789-4e9d-9148-890e5c44a9e2","2020-11-20 23:32:43","audio","animals","positive",72
"adore","1987b43d-bcb9-4ab0-8634-ef3623928e94","2021-04-15 12:14:57","photo","education","positive",72
"adore","67f2a150-6086-4cbd-8d21-46250ccef5a2","2020-11-13 18:20:13","GIF","cooking","positive",72
"adore","7f5299bf-ae57-4c01-a84c-f0c6bc7a5b5f","2021-02-01 07:45:38","audio","animals","positive",72
"adore","65545cfb-59bb-4dc1-a38b-82f268210da2","2020-12-09 15:42:22","audio","technology","positive",72
"adore","73a7ec8f-08e7-41c6-a995-51537ff8772a","2020-09-16 18:51:38","video","technology","positive",72
"adore","a059c110-6fab-4a4f-9482-eaf2c269911e","2021-01-29 16:20:17","GIF","food","positive",72
"adore","09bb0893-a05b-49bc-95ec-1e158577bf13","2020-08-11 06:10:29","photo","healthy eating","positive",72
"adore","d0f8e229-c57e-460c-a08f-59672c606151","2021-06-02 16:52:28","GIF","soccer","positive",72
"adore","8838fd48-05c4-4b57-a192-35e9ff67f9b2","2021-04-10 23:48:51","video","soccer","positive",72
"adore","27e2cea3-b408-4e66-801b-29fdf7c03b05","2021-01-17 16:00:17","photo","travel","positive",72
"adore","d0f8e229-c57e-460c-a08f-59672c606151","2020-10-28 08:06:36","GIF","soccer","positive",72
"adore","c7b02507-18a2-4169-91f1-4fc727c8bc03","2021-04-09 16:19:25","GIF","dogs","positive",72
"adore","4dd4da35-453e-466d-95ca-b1a7710fac1f","2020-10-13 12:29:13","GIF","technology","positive",72
"adore","b3bcbff0-d160-4fbc-b3c6-8113ceb38056","2021-04-19 09:09:30","audio","science","positive",72
"adore","edc4a60a-b5ba-4178-b99e-9d34ed92599c","2021-06-11 08:08:07","audio","technology","positive",72
"adore","1a5b511a-7199-4f05-988a-1f1d0380ca11","2021-05-25 03:05:23","GIF","travel","positive",72
"adore","d288a4cb-6361-4d4b-925f-a0bf2e3350ec","2021-03-05 00:18:56","GIF","technology","positive",72
"adore","cd568dd1-70cf-45d6-b495-10eebff8c920","2021-01-09 23:59:21","photo","dogs","positive",72
"adore","724b9f31-8bdc-4152-b93f-4d3e457201ef","2021-03-07 22:34:08","audio","animals","positive",72
"adore","bc06bab7-dbf7-4d7a-81b4-9f76f2f0b87c","2020-11-06 01:11:28","GIF","culture","positive",72
"adore","7cace87f-53ff-40c0-99f5-abbc5b8f86d6","2020-12-02 20:39:25","GIF","cooking","positive",72
"adore","962e5969-cd65-4670-a2ae-b0266908426b","2021-05-24 08:23:11","GIF","studying","positive",72
"adore","03ed0e2b-bd63-4079-8910-62c187526ca0","2020-10-07 12:26:24","audio","healthy eating","positive",72
"adore","25290b06-ca05-43eb-8e54-e345a41ddba7","2021-01-04 13:16:48","photo","education","positive",72
"adore","cd568dd1-70cf-45d6-b495-10eebff8c920","2021-06-13 09:28:22","photo","dogs","positive",72
"adore","3ce1063a-2277-4285-97b0-9bd53a941cd7","2020-10-18 19:58:14","GIF","travel","positive",72
"adore","4426d1ae-cb98-45cf-8d1d-c176ef755293","2021-02-04 20:45:37","GIF","science","positive",72
"adore","8891433d-d874-4bd5-a8ca-4114a4131b20","2020-11-05 01:28:56","GIF","tennis","positive",72
"adore","476e3ce0-3291-4c77-b3a3-deabee114efc","2021-03-22 04:23:43","audio","healthy eating","positive",72
"adore","7dc268e5-b50d-4280-82aa-e08af75a8a0a","2020-10-15 13:38:50","photo","science","positive",72
