"country","winter_total_medals","winter_total_gold","winter_total_silver","winter_total_bronze","summer_total_medals","summer_total_gold","summer_total_silver","summer_total_bronze","para_total_medals","para_total_gold","para_total_silver","para_total_bronze"
"Australia",15,5,5,5,518,150,197,171,1020,343,348,329
"Austria",232,64,81,87,108,26,42,40,406,133,137,136
"Belarus",18,8,5,5,84,13,43,28,21,6,4,11
"Canada",199,73,64,62,305,64,137,104,1099,417,325,357
"China",62,13,28,21,545,228,154,163,934,404,303,227
"Finland",167,43,63,61,310,104,120,86,181,77,46,58
"France",124,36,35,53,777,234,287,256,1054,370,344,340
"Germany",259,100,94,65,1392,444,491,457,1809,631,611,567
"Italy",124,40,36,48,608,219,198,191,237,78,73,86
"Japan",58,14,22,22,437,142,161,134,166,54,54,58
"Netherlands",130,45,44,41,299,88,114,97,675,257,218,200
"New Zealand",3,0,1,2,118,47,44,27,12,7,0,5
"Norway",368,132,125,111,158,59,48,51,479,199,156,124
"Poland",22,7,7,8,290,69,134,87,598,231,198,169
"Russia",138,49,45,44,1577,592,487,498,398,138,149,111
"Slovakia",8,3,4,1,28,9,8,11,29,15,8,6
"South Korea",70,31,25,14,264,90,89,85,126,58,42,26
"Spain",4,1,0,3,148,44,41,63,456,154,140,162
"Sweden",158,57,46,55,513,150,188,175,501,201,167,133
"Switzerland",153,56,45,52,209,58,69,82,135,49,43,43
"Ukraine",8,3,1,4,126,35,59,32,421,145,124,152
"United Kingdom",32,11,4,17,895,278,300,317,1796,627,586,583
"United States",305,105,112,88,2545,1035,708,802,2494,882,819,793
