country,total_medals,total_gold,total_silver,total_bronze
Australia,15,5,5,5
Austria,232,64,81,87
Belarus,18,8,5,5
Belgium,6,1,2,3
Bulgaria,6,1,2,3
Canada,199,73,64,62
China,62,13,28,21
Croatia,11,4,6,1
Czech Republic,31,9,11,11
Czechoslovakia,25,2,8,15
Denmark,1,0,1,0
East Germany,110,39,36,35
Estonia,7,4,2,1
Finland,167,43,63,61
France,124,36,35,53
Germany,259,100,94,65
Hungary,7,1,2,4
Italy,124,40,36,48
Japan,58,14,22,22
Kazakhstan,8,1,3,4
Latvia,9,1,3,5
Liechtenstein,10,2,2,6
Luxembourg,2,0,2,0
Netherlands,130,45,44,41
New Zealand,3,0,1,2
North Korea,2,0,1,1
Norway,368,132,125,111
Poland,22,7,7,8
Romania,1,0,0,1
Russia,138,49,45,44
Slovakia,8,3,4,1
Slovenia,17,2,5,10
South Korea,70,31,25,14
Soviet Union,194,78,57,59
Spain,4,1,0,3
Sweden,158,57,46,55
Switzerland,153,56,45,52
Ukraine,8,3,1,4
Unified Team,23,9,6,8
United Kingdom,32,11,4,17
United States,305,105,112,88
Uzbekistan,1,1,0,0
West Germany,39,11,15,13
Yugoslavia,4,0,3,1
