year,host_country,host_city,country_name,gold,silver,bronze,total_medals
1924,France,Chamonix,United States,1,2,1,4
1924,France,Chamonix,Great Britain,1,1,2,4
1924,France,Chamonix,Austria,2,1,0,3
1924,France,Chamonix,Norway,4,7,6,17
1924,France,Chamonix,Finland,4,4,3,11
1924,France,Chamonix,France,0,0,3,3
1924,France,Chamonix,Belgium,0,0,1,1
1924,France,Chamonix,Switzerland,2,0,1,3
1924,France,Chamonix,Canada,1,0,0,1
1924,France,Chamonix,Sweden,1,1,0,2
1928,Switzerland,St. Moritz,Sweden,2,2,1,5
1928,Switzerland,St. Moritz,Finland,2,1,1,4
1928,Switzerland,St. Moritz,Canada,1,0,0,1
1928,Switzerland,St. Moritz,Czechoslovakia,0,0,1,1
1928,Switzerland,St. Moritz,Norway,6,4,5,15
1928,Switzerland,St. Moritz,United States,2,2,2,6
1928,Switzerland,St. Moritz,Great Britain,0,0,1,1
1928,Switzerland,St. Moritz,Switzerland,0,0,1,1
1928,Switzerland,St. Moritz,Belgium,0,0,1,1
1928,Switzerland,St. Moritz,France,1,0,0,1
1928,Switzerland,St. Moritz,Austria,0,3,1,4
1928,Switzerland,St. Moritz,Germany,0,0,1,1
1932,United States,Lake Placid,Sweden,1,2,0,3
1932,United States,Lake Placid,Canada,1,1,5,7
1932,United States,Lake Placid,United States,6,4,2,12
1932,United States,Lake Placid,Norway,3,4,3,10
1932,United States,Lake Placid,Finland,1,1,1,3
1932,United States,Lake Placid,Germany,0,0,2,2
1932,United States,Lake Placid,Hungary,0,0,1,1
1932,United States,Lake Placid,Switzerland,0,1,0,1
1932,United States,Lake Placid,Austria,1,1,0,2
1932,United States,Lake Placid,France,1,0,0,1
1936,Germany,Garmisch-Partenkirchen,Finland,1,2,3,6
1936,Germany,Garmisch-Partenkirchen,Switzerland,1,2,0,3
1936,Germany,Garmisch-Partenkirchen,Sweden,2,2,3,7
1936,Germany,Garmisch-Partenkirchen,Norway,7,5,3,15
1936,Germany,Garmisch-Partenkirchen,Germany,3,3,0,6
1936,Germany,Garmisch-Partenkirchen,Canada,0,1,0,1
1936,Germany,Garmisch-Partenkirchen,France,0,0,1,1
1936,Germany,Garmisch-Partenkirchen,Hungary,0,0,1,1
1936,Germany,Garmisch-Partenkirchen,Austria,1,1,2,4
